iter	RMSE
113	0.4872705126
114	0.4850437895
115	0.4828343374
116	0.4806961274
117	0.4784922257
118	0.4763747227
119	0.4741921186
120	0.4720280222
121	0.4699136799
122	0.4677665294
123	0.4656104067
124	0.4634988081
125	0.4614359314
126	0.4593098885
127	0.4572441328
128	0.4551331605
129	0.4531495659
130	0.4511384854
131	0.4490573595
132	0.4470159249
133	0.4450008502
134	0.4430313564
135	0.441031011
136	0.4390046638
137	0.4369667784
138	0.4350003338
139	0.4330679173
140	0.4311024158
141	0.4291812493
142	0.4272260044
143	0.4252552688
144	0.4232854257
145	0.4213246912
146	0.4193688947
147	0.4174993022
148	0.4156221251
149	0.413727847
150	0.411914892
151	0.4100724997
152	0.4082849534
153	0.4065141887
154	0.4046808457
155	0.4028408221
156	0.4010053607
157	0.3992278745
158	0.3974398785
159	0.3956314141
160	0.3938865645
161	0.3921004614
162	0.3903182682
163	0.3885785318
164	0.3868804736
165	0.3851288123
166	0.3833827549
167	0.3816681131
168	0.3799557994
169	0.378221719
170	0.3765281787
171	0.3748575673
172	0.3731929042
173	0.3715826656
174	0.369900656
175	0.3682288039
176	0.3665674725
177	0.3649426014
178	0.3632888791
179	0.3616488308
180	0.360031278
181	0.3584337217
182	0.3568155559
183	0.3552526894
184	0.3536816344
185	0.3521238987
186	0.350558299
187	0.3489693685
188	0.3474529513
189	0.3459237261
190	0.3443638232
191	0.3428738867
192	0.3413263299
193	0.3398199764
194	0.3383139356
195	0.336809042
196	0.3353477498
197	0.333871035
198	0.332439309
199	0.3309276888
200	0.3294586798
201	0.3280179485
202	0.3266165072
203	0.3251821988
204	0.3237243904
205	0.3222741657
206	0.3208998764
207	0.3194764353
208	0.3180766071
209	0.3166508703
210	0.3152461219
211	0.3138525188
212	0.3124400847
213	0.3110766882
214	0.3096937513
215	0.3083037194
216	0.3069831481
217	0.3056148433
218	0.3042648928
219	0.3029176331
220	0.3015767008
221	0.3002788041
222	0.2989660044
223	0.2976673503
224	0.2963608993
225	0.2950877232
226	0.2938213064
227	0.2925417967
228	0.2912701957
229	0.2899949262
230	0.2887752052
231	0.2875115766
232	0.2862659051
233	0.2850170709
234	0.2838011488
235	0.2825492892
236	0.2813049923
237	0.2800965364
238	0.2788779387
239	0.2776784164
240	0.2764998008
241	0.2753242433
242	0.2741392072
243	0.2729624559
244	0.271810149
245	0.2706410477
246	0.2694817792
247	0.2683523862
248	0.2672168715
249	0.2660664447
250	0.2649161607
251	0.2637760419
252	0.2626473767
253	0.2615294787
254	0.2604164702
255	0.2593002869
256	0.2581827103
257	0.257099684
258	0.2559994826
259	0.2548945517
260	0.2537797527
261	0.2527199723
262	0.2516602576
263	0.2505792357
264	0.2494981235
265	0.2484311746
266	0.2473541383
267	0.2463096219
268	0.2452722936
269	0.2442081097
270	0.2431803942
271	0.24217493
272	0.2411254656
273	0.2401235073
274	0.2391065323
275	0.2381080627
276	0.2370928268
277	0.236087642
278	0.2350880099
279	0.2340786295
280	0.2330966721
281	0.2321003088
282	0.2311250301
283	0.2301784328
284	0.2292224491
285	0.2282623125
286	0.227283876
287	0.2263536772
288	0.2253948576
289	0.2244432487
290	0.2234817393
291	0.2225729668
292	0.2216429639
293	0.2206953759
294	0.2197772857
295	0.2188684475
296	0.2179248285
297	0.2170024376
298	0.2161276724
299	0.2152204498
300	0.2143554863
301	0.2134574968
302	0.2125824787
303	0.2117053312
304	0.2108239936
305	0.2099837122
306	0.2091080998
307	0.2082810327
308	0.2074253346
309	0.2065720765
310	0.2057329731
311	0.2048631557
312	0.2040169076
313	0.2032041534
314	0.2023625808
315	0.2015380272
316	0.2007079839
317	0.1999000945
318	0.1991028525
319	0.1983057785
320	0.1974847667
321	0.1966616621
322	0.1958376104
323	0.1950522825
324	0.1942483042
325	0.1934603726
326	0.1926768359
327	0.1918970493
328	0.1911266531
329	0.1903776839
330	0.1896116763
331	0.1888622067
332	0.1880931434
333	0.1873401266
334	0.1865822411
335	0.1858382956
336	0.1851009639
337	0.1843523518
338	0.1836356475
339	0.1829170037
340	0.1821844002
341	0.1814549891
342	0.1807611535
343	0.1800692732
344	0.1793668885
345	0.1786586728
346	0.1779533984
347	0.1772583497
348	0.1765470513
349	0.1758360825
350	0.1751421515
351	0.1744412094
352	0.1737612435
353	0.1730882385
354	0.1724367911
355	0.1717708427
356	0.1711272603
357	0.1704555143
358	0.1698060199
359	0.1691443289
360	0.1684910588
361	0.1678532621
362	0.1672091071
363	0.1665645942
364	0.1659239269
365	0.1652823181
366	0.1646642326
367	0.1640269076
368	0.1634152578
369	0.1627906666
370	0.162164528
371	0.1615439592
372	0.1609228542
373	0.1603234951
374	0.1597316944
375	0.1591255753
376	0.1585287701
377	0.1579456422
378	0.1573543208
379	0.1567545806
380	0.1561811029
381	0.1555717586
382	0.1550085155
383	0.1544331952
384	0.1538479678
385	0.1532641142
386	0.1526894074
387	0.1521318984
388	0.1515921784
389	0.151025639
390	0.1504551601
391	0.1498764383
392	0.149337176
393	0.1487861193
394	0.1482735495
395	0.1477293865
396	0.1471723271
397	0.1466518732
398	0.1461271314
399	0.145612669
400	0.1450879089
401	0.1445474446
402	0.1440586332
403	0.1435436424
404	0.1430262058
405	0.1425070978
406	0.141984614
407	0.1414791568
408	0.1409578794
409	0.1404496821
410	0.139976686
411	0.1394784406
412	0.1389596787
413	0.1384736467
414	0.1379708718
415	0.1375073883
416	0.1370141738
417	0.1365465583
418	0.1360768881
419	0.1355985224
420	0.1351095635
421	0.1346371232
422	0.1341592349
423	0.1336911692
424	0.1332181478
425	0.1327552303
426	0.132290772
427	0.1318527145
428	0.1314009177
429	0.1309500236
430	0.1305062538
431	0.1300466649
432	0.1296067033
433	0.1291614861
434	0.128738953
435	0.1282865036
436	0.1278517465
437	0.1274128883
438	0.1269592186
439	0.1265414321
440	0.1261316599
441	0.125717044
442	0.1253095154
443	0.1248697608
444	0.1244524688
445	0.1240179409
446	0.1236032852
447	0.1231872854
448	0.1227757004
449	0.1223913631
450	0.1219842349
451	0.1215802942
452	0.1211848285
453	0.1207760007
454	0.1203680002
455	0.1199792467
456	0.1196008838
457	0.1192075819
458	0.1188383688
459	0.1184498261
460	0.1180803563
461	0.1177204423
462	0.1173414112
463	0.1169698581
464	0.1165967256
465	0.1162367082
466	0.115858305
467	0.1154903198
468	0.1151313344
469	0.1147712436
470	0.1144124759
471	0.1140544419
472	0.1137002913
473	0.1133603203
474	0.1130039995
475	0.1126710153
476	0.1123336278
477	0.1119859439
478	0.1116434785
479	0.1112959642
480	0.1109567666
481	0.1106069967
482	0.1102803965
483	0.1099431845
484	0.1096295414
485	0.1092887964
486	0.1089640896
487	0.1086330469
488	0.1083056518
489	0.1079790148
490	0.1076461602
491	0.107322624
492	0.1070048897
493	0.1066974349
494	0.1063700113
495	0.1060472202
496	0.1057305405
497	0.1054196433
498	0.1051259281
499	0.1048440627
500	0.1045462079
501	0.1042317449
502	0.1039359873
503	0.103636146
504	0.1033475531
505	0.1030586487
506	0.1027759271
507	0.1024877869
508	0.1022070767
509	0.1019107594
510	0.1016263839
511	0.1013443641
512	0.1010480879
513	0.1007766469
514	0.100499262
515	0.1002172392
516	0.09993912404
517	0.09968839207
518	0.09942438984
519	0.09915755134
520	0.09890144112
521	0.09863862156
522	0.09838811002
523	0.09811608769
524	0.09784401173
525	0.09759730275
526	0.09733142659
527	0.09708278088
528	0.09682627434
529	0.09658814568
530	0.09633496133
531	0.09608394563
532	0.09582642076
533	0.09557921695
534	0.09532971
535	0.09508465017
536	0.09483474442
537	0.09459275532
538	0.09435266259
539	0.09409518031
540	0.0938537982
541	0.09359988068
542	0.09335835057
543	0.09314273537
544	0.09289697236
545	0.09265978472
546	0.09243609909
547	0.09221522127
548	0.09199079965
549	0.09176339576
550	0.0915417114
551	0.0913139937
552	0.09107983666
553	0.09086753034
554	0.09065252735
555	0.09044464495
556	0.09021599328
557	0.08999833337
558	0.08979600159
559	0.08958258564
560	0.08937267127
561	0.0891652451
562	0.08896158943
563	0.08876349708
564	0.0885623905
565	0.08837184054
566	0.08816339753
567	0.08795805472
568	0.08775530581
569	0.08756390979
570	0.08737622726
571	0.08719518957
572	0.08698742732
573	0.08680022576
574	0.08659135686
575	0.08639390547
576	0.08621112701
577	0.08601972901
578	0.08583895883
579	0.08566252008
580	0.08547497784
581	0.08529569203
582	0.08509737581
583	0.08491505351
584	0.0847324971
585	0.08455434771
586	0.08436913831
587	0.08420122053
588	0.08402936717
589	0.08383531168
590	0.08366448406
591	0.08347103727
592	0.08330523044
593	0.08312978205
594	0.08294427268
595	0.08277898654
596	0.08261769224
597	0.08245071981
598	0.08227778691
599	0.08211236558
600	0.08194903138
601	0.08177068384
602	0.08161183503
603	0.08145717951
604	0.08129454278
605	0.08112338448
606	0.08096064938
607	0.08079917067
608	0.08063370334
609	0.08047970438
610	0.08032307692
611	0.08016455767
612	0.08000932951
613	0.0798502457
614	0.07968597579
615	0.07954188494
616	0.07937133463
617	0.07922284646
618	0.07908379987
619	0.07894778821
620	0.07881581485
621	0.07867177051
622	0.07853240637
623	0.07837442831
624	0.07823116093
625	0.07809637108
626	0.07795329216
627	0.07781804968
628	0.0776693227
629	0.07754176653
630	0.07740552081
631	0.07726432963
632	0.07712706911
633	0.07698955177
634	0.0768466254
635	0.07670524678
636	0.07657322981
637	0.07643443173
638	0.07631345334
639	0.07618494798
640	0.0760509793
641	0.07592630713
642	0.07580891115
643	0.07566616428
644	0.07554363009
645	0.07541111353
646	0.07528625096
647	0.0751670209
648	0.07504848847
649	0.07491851672
650	0.07480011803
651	0.07468044609
652	0.07455082159
653	0.07443488948
654	0.07430164911
655	0.07418180341
656	0.07406996846
657	0.07394731266
658	0.07384027727
659	0.07374206648
660	0.07363045402
661	0.07351011512
662	0.07339349921
663	0.07325969268
664	0.07314825812
665	0.07304313772
666	0.07292022055
667	0.07279754473
668	0.07268122358
669	0.07257652177
670	0.07246371462
671	0.07234804892
672	0.07223502815
673	0.07212014047
674	0.07200488166
675	0.07189667078
676	0.07178110141
677	0.07167628036
678	0.07157507003
679	0.07145965225
680	0.07134777946
681	0.07124030363
682	0.07113920784
683	0.07104161846
684	0.07093604482
685	0.07083007117
686	0.07073210424
687	0.07063642744
688	0.07052321754
689	0.07042638997
690	0.0703351131
691	0.07023825334
692	0.07015202017
693	0.07005353712
694	0.06995138251
695	0.06985537331
696	0.06976026252
697	0.06966936144
698	0.06957136585
699	0.0694816824
700	0.06939480882
701	0.06930604041
702	0.06920335457
703	0.06911811451
704	0.06902500025
705	0.06893874572
706	0.06885172154
707	0.06875860143
708	0.06867900626
709	0.06858617294
710	0.06849680707
711	0.06840285534
712	0.06832195879
713	0.06823924123
714	0.06814402367
715	0.06805943037
716	0.06797819816
717	0.06790400647
718	0.06782415263
719	0.06775752256
720	0.06766365402
721	0.06757970057
722	0.06750048863
723	0.06741725699
724	0.06732654455
725	0.06722705204
726	0.06714817392
727	0.06708016905
728	0.06699626359
729	0.0669166794
730	0.06684056895
731	0.06676560863
732	0.06667406115
733	0.06660144493
734	0.06651657104
735	0.06643165503
736	0.06634919594
737	0.06627346208
738	0.0662059349
739	0.06614442543
740	0.06607413181
741	0.06600026003
742	0.06593540875
743	0.06586607729
744	0.0657957111
745	0.06572384368
746	0.06565381464
747	0.06559207651
748	0.06551304959
749	0.06544508425
750	0.06536983471
751	0.06529833786
752	0.06522035928
753	0.06514847444
754	0.06507988281
755	0.06501669804
756	0.0649478521
757	0.06488149261
758	0.06481651591
759	0.06474714453
760	0.06468459698
761	0.06461624541
762	0.06453926139
763	0.06448001408
764	0.06440397203
765	0.06432717272
766	0.06425847904
767	0.06419449586
768	0.06412164613
769	0.06405431668
770	0.06399820732
771	0.06394051975
772	0.06386906555
773	0.06380028433
774	0.06373373184
775	0.06367740388
776	0.06362141681
777	0.06355122106
778	0.06348872209
779	0.06342456772
780	0.0633537013
781	0.06329352594
782	0.06324145721
783	0.06317666931
784	0.06312362339
785	0.06307080525
786	0.06301483198
787	0.06296088705
788	0.06289736734
789	0.06283871629
790	0.06278314725
791	0.06272050121
792	0.06266465803
793	0.06261114921
794	0.06254699612
795	0.06250006075
796	0.06244228842
797	0.0623939019
798	0.06233604596
799	0.06228157526
800	0.06222377641
801	0.06216151686
802	0.0621125112
803	0.06204576395
804	0.06198322917
805	0.06192216921
806	0.06186969291
807	0.06181061601
808	0.06175405978
809	0.06169804826
810	0.06164469375
811	0.06159772146
812	0.06154459699
813	0.06148980989
814	0.06143743069
815	0.06138502948
816	0.06133744903
817	0.06128436246
818	0.06123749476
819	0.06118912989
820	0.06113864995
821	0.06108782794
822	0.06103897909
823	0.06098014979
824	0.06092410813
825	0.06087906553
826	0.0608267991
827	0.06078382561
828	0.06074387951
829	0.06070011003
830	0.060646803
831	0.06059617146
832	0.0605458471
833	0.06050139985
834	0.06045514324
835	0.06041682936
836	0.06037675339
837	0.06032542061
838	0.06028505571
839	0.0602351044
840	0.06019502856
841	0.06015833614
842	0.06012113794
843	0.06008039414
844	0.06002578602
845	0.05998585438
846	0.05994674161
847	0.05989583503
848	0.05984569572
849	0.05980218024
850	0.05976024169
851	0.05971760799
852	0.05967367475
853	0.05963587376
854	0.05959191963
855	0.05954646813
856	0.05950488471
857	0.05947017359
858	0.05942992037
859	0.05939047253
860	0.05935836451
861	0.05932491719
862	0.05928120802
863	0.05924525154
864	0.0592013714
865	0.05916040994
866	0.0591177541
867	0.0590760177
868	0.05903494902
869	0.05899536794
870	0.0589551912
871	0.05891375866
872	0.05887003435
873	0.05883036179
874	0.05879120608
875	0.05875672724
876	0.05871917981
877	0.05867820342
878	0.05862785055
879	0.05858870221
880	0.05854834331
881	0.05851291361
882	0.05847404127
883	0.05844273743
884	0.05840053655
885	0.05836120613
886	0.05831691517
887	0.05827365924
888	0.05823738913
889	0.0582030335
890	0.05816407172
891	0.05812349631
892	0.05809190149
893	0.05806259243
894	0.0580249318
895	0.0579827485
896	0.05794933381
897	0.05791231813
898	0.05787477989
899	0.05784320441
900	0.05781139235
901	0.05777712022
902	0.05774507169
903	0.05771034948
904	0.0576782268
905	0.05764287383
906	0.05761234325
907	0.05758348595
908	0.05754250144
909	0.05751587809
910	0.05747684964
911	0.05744705014
912	0.05741629429
913	0.05737683155
914	0.057344702
915	0.05731792444
916	0.05728455552
917	0.05725078029
918	0.05722035869
919	0.0571921436
920	0.05716352989
921	0.05712888076
922	0.05709984553
923	0.05706128285
924	0.05703128626
925	0.05700006921
926	0.05696636687
927	0.05694013377
928	0.05690623574
929	0.05687824363
930	0.05684502416
931	0.05681053566
932	0.05677608632
933	0.05675074519
934	0.05671851635
935	0.05668576189
936	0.0566546893
937	0.05662447639
938	0.05658888598
939	0.05655362919
940	0.05652744139
941	0.05650088157
942	0.05647328333
943	0.05644454721
944	0.05641361861
945	0.05638221413
946	0.05635292093
947	0.05631503648
948	0.05628733758
949	0.05626216289
950	0.05622716578
951	0.0562015868
952	0.05616741428
953	0.05613955734
954	0.05610807766
955	0.05608002299
956	0.05604173034
957	0.05601058081
958	0.05598117371
959	0.05595736213
960	0.05592513766
961	0.05589918424
962	0.05587367269
963	0.05584554665
964	0.05581278444
965	0.05578991235
966	0.05575583292
967	0.05573027332
968	0.05569697261
969	0.05567186894
970	0.05564237152
971	0.0556088162
972	0.05558085531
973	0.0555565817
974	0.0555323404
975	0.05550809643
976	0.05547768386
977	0.05545658944
978	0.05543191004
979	0.0554044504
980	0.05537708821
981	0.05535462218
982	0.05532567048
983	0.05529945781
984	0.05527871547
985	0.05525296711
986	0.0552290534
987	0.05520484482
988	0.05518497622
989	0.05515750109
990	0.05513086982
991	0.05510677644
992	0.05508692581
993	0.05506357997
994	0.05504184055
995	0.05501839259
996	0.05498489056
997	0.0549632832
998	0.05493921488
999	0.05490728892
1000	0.05488448027
1001	0.05485641624
1002	0.054832694
1003	0.05480976307
1004	0.05478882865
1005	0.05476353438
1006	0.05474186139
1007	0.05470900649
1008	0.05468029255
1009	0.05465851088
1010	0.05463421853
1011	0.05460875075
1012	0.05458670945
1013	0.05456475734
1014	0.05454041406
1015	0.05451743648
1016	0.05449722482
1017	0.05447432944
1018	0.05444995479
1019	0.05442601649
1020	0.05439611768
1021	0.05437401848
1022	0.05435686909
1023	0.05433510248
1024	0.05431021029
1025	0.05428554062
1026	0.0542668702
1027	0.05424135455
1028	0.05422066766
1029	0.05419837444
1030	0.05417539891
1031	0.05415313217
1032	0.05413178213
1033	0.05410518661
1034	0.05408177625
1035	0.05405912253
1036	0.05403960545
1037	0.05401261325
1038	0.05398099745
1039	0.05395922651
1040	0.05393868076
1041	0.05391910372
1042	0.05390184054
1043	0.05388238958
1044	0.05386318502
1045	0.05383564345
1046	0.05381583473
1047	0.05379334553
1048	0.05376895413
1049	0.05374581962
1050	0.05372905855
1051	0.05371024934
1052	0.05368959578
1053	0.05366898448
1054	0.05364754455
1055	0.05362616914
1056	0.05360458925
1057	0.05358297303
1058	0.05356453924
1059	0.05354237129
1060	0.05352681207
1061	0.05350630465
1062	0.0534831916
1063	0.05346902088
1064	0.05344448237
1065	0.05341824013
1066	0.05339510429
1067	0.05336990187
1068	0.05334421128
1069	0.05332830227
1070	0.05331051746
1071	0.05328470552
1072	0.05326353698
1073	0.05324098245
1074	0.05322429931
1075	0.05320332979
1076	0.05318296827
1077	0.05316316966
1078	0.05314467885
1079	0.05312557408
1080	0.05310989774
1081	0.05309120215
1082	0.05307737331
1083	0.05305854469
1084	0.05303933442
1085	0.05301663395
1086	0.0529972068
1087	0.05298413036
1088	0.05296970944
1089	0.05294348454
1090	0.05291919855
1091	0.05290416389
1092	0.05288603604
1093	0.05286982503
1094	0.0528526378
1095	0.05283764327
1096	0.05282046963
1097	0.05280181529
1098	0.05278276596
1099	0.05276913564
1100	0.05274244185
1101	0.05272431642
1102	0.05270777095
1103	0.05269211878
1104	0.05267560361
1105	0.05265574705
1106	0.0526421393
1107	0.05262749957
1108	0.0526082001
1109	0.0525886776
1110	0.05257491341
1111	0.05255960444
1112	0.05254066772
1113	0.05251972075
1114	0.05250087101
1115	0.05248214626
1116	0.05245732134
1117	0.05244098199
1118	0.05242694133
1119	0.05241361607
1120	0.05240160475
1121	0.05238670156
1122	0.05236346454
1123	0.05234226443
1124	0.05232531646
1125	0.05230339931
1126	0.05228731783
1127	0.05226605664
1128	0.05225039102
1129	0.05222772197
1130	0.05221282956
1131	0.05219450471
1132	0.05217974511
1133	0.05215977565
1134	0.0521397463
1135	0.05212488089
1136	0.05209990754
1137	0.0520812969
1138	0.05206576619
1139	0.05204622306
1140	0.0520263508
1141	0.05200838376
1142	0.05199572966
1143	0.05197093806
1144	0.05195430405
1145	0.05193381009
1146	0.0519205601
1147	0.05190478734
1148	0.05188861167
1149	0.0518708781
1150	0.05185470197
1151	0.05183979138
1152	0.05182726341
1153	0.05180420353
1154	0.05178691531
1155	0.05176606393
1156	0.05175581488
1157	0.05173767561
1158	0.05172449748
1159	0.0517056591
1160	0.05168896603
1161	0.05167406447
1162	0.05165763886
1163	0.05164258344
1164	0.05162022251
1165	0.05159993817
1166	0.05158205643
1167	0.05156711892
1168	0.05155620631
1169	0.05153473593
1170	0.05152246359
1171	0.05150892078
1172	0.05148944174
1173	0.05147533971
1174	0.05146202576
1175	0.05144059149
1176	0.0514268485
1177	0.05140515335
1178	0.05138464457
1179	0.05137398257
1180	0.05135590386
1181	0.0513407595
1182	0.0513294179
1183	0.05131368909
1184	0.051302404
1185	0.05129342021
1186	0.05127344842
1187	0.05126130171
1188	0.05124377893
1189	0.05122926627
1190	0.05121613625
1191	0.05119225512
1192	0.05117532117
1193	0.05116210714
1194	0.05114769535
1195	0.05113454091
1196	0.05112115854
1197	0.05110643272
1198	0.05108949276
1199	0.05107708164
1200	0.05106393881
1201	0.0510485917
1202	0.0510369322
1203	0.05102035336
1204	0.05100762217
1205	0.05099038152
1206	0.0509753797
1207	0.05096466563
1208	0.05094936221
1209	0.05093580792
1210	0.05092582147
1211	0.05091255653
1212	0.05087901301
1213	0.05086296446
1214	0.05084562589
1215	0.05083435135
1216	0.0508211318
1217	0.05080231966
1218	0.05077899935
1219	0.05076705714
1220	0.0507530662
1221	0.05073931991
1222	0.05072371569
1223	0.05071001618
1224	0.05069425036
1225	0.05068142251
1226	0.05066925816
1227	0.05065706208
1228	0.05064009919
1229	0.05062453359
1230	0.05061011091
1231	0.05060009916
1232	0.05058341056
1233	0.05056851398
1234	0.05055280461
1235	0.05054103354
1236	0.05052843504
1237	0.05051164357
1238	0.05049876697
1239	0.05047984122
1240	0.05046568043
1241	0.05045350427
1242	0.05044275683
1243	0.05043160748
1244	0.05041602679
1245	0.05039982378
1246	0.05038364006
1247	0.05037057196
1248	0.05035915141
1249	0.05034737783
1250	0.05033393326
1251	0.05032211794
1252	0.05029835012
1253	0.05028959077
1254	0.05027731674
1255	0.05026628945
1256	0.05025518235
1257	0.0502422089
1258	0.05023029158
1259	0.05021534259
1260	0.05020392001
1261	0.0501965165
1262	0.05017688922
1263	0.05016347212
1264	0.05014487833
1265	0.05013480209
1266	0.05011795199
1267	0.050106004
1268	0.05009166844
1269	0.05007863398
1270	0.05006216632
1271	0.05004674624
1272	0.05003496775
1273	0.05001951585
1274	0.05000577596
1275	0.04998911903
1276	0.04998145933
1277	0.04997076606
1278	0.04996097191
1279	0.04995353783
1280	0.04993852625
1281	0.04992883546
1282	0.04990932027
1283	0.04988772218
1284	0.04987878251
1285	0.04986706444
1286	0.04985807124
1287	0.04984719614
1288	0.04983245301
1289	0.0498193825
1290	0.04980732583
1291	0.04979300706
1292	0.0497819319
1293	0.04977022367
1294	0.04975872733
1295	0.04974574677
1296	0.04972723181
1297	0.04970825219
1298	0.04969606599
1299	0.04968292588
1300	0.04967395161
1301	0.04966209949
1302	0.04965295604
1303	0.04963764737
1304	0.04961623597
1305	0.0496059493
1306	0.04959505591
1307	0.04956692843
1308	0.04955755443
1309	0.04954824276
1310	0.04953042648
1311	0.0495224704
1312	0.04950967251
1313	0.04949782241
1314	0.04948665189
1315	0.04947646513
1316	0.04946424661
1317	0.04945315446
1318	0.04943805444
1319	0.04942713443
1320	0.04940311887
1321	0.04938988193
1322	0.04937323863
1323	0.04936469285
1324	0.04935448862
1325	0.04934011833
1326	0.04933105326
1327	0.04931754596
1328	0.04929656135
1329	0.04928181793
1330	0.04927322156
1331	0.04926292242
1332	0.04924206078
1333	0.04923198271
1334	0.04922208101
1335	0.04921558114
1336	0.04920590746
1337	0.04918952788
1338	0.04918042759
1339	0.04916104068
1340	0.04914363796
1341	0.04913568987
1342	0.04911812298
1343	0.04910996004
1344	0.04909557361
1345	0.04908609975
1346	0.04907564491
1347	0.04905016118
1348	0.04903987912
1349	0.04903475355
1350	0.04902255681
1351	0.04900795984
1352	0.04899550724
1353	0.048986144
1354	0.04897751259
1355	0.04896420451
1356	0.04895250863
1357	0.04893612503
1358	0.04892362832
1359	0.04890946311
1360	0.04890001166
1361	0.04888784718
1362	0.0488761961
1363	0.04886369914
1364	0.04885080643
1365	0.04884076759
1366	0.0488298677
1367	0.04881952517
1368	0.04880342721
1369	0.04879616537
1370	0.04878137955
1371	0.04875721897
1372	0.04874771182
1373	0.04873802553
1374	0.04872671
1375	0.04871588552
1376	0.04870532955
1377	0.04869259346
1378	0.04867907691
1379	0.04866798344
1380	0.04865707815
1381	0.04864365139
1382	0.04863408761
1383	0.04862382338
1384	0.04860613362
1385	0.04859824636
1386	0.04858752763
1387	0.04857943744
1388	0.04855774093
1389	0.04855027291
1390	0.04853971872
1391	0.04852843535
1392	0.0485193061
1393	0.0485105143
1394	0.04850112172
1395	0.04849084846
1396	0.04848130631
1397	0.04847386714
1398	0.0484563237
1399	0.0484446002
1400	0.04842510413
1401	0.04841304173
1402	0.04840168369
1403	0.04839314334
1404	0.0483759173
1405	0.04836119544
1406	0.04835327236
1407	0.04834331491
1408	0.04832857192
1409	0.04831793838
1410	0.04830773296
1411	0.04829908662
1412	0.04828790465
1413	0.04827676531
1414	0.04826736481
1415	0.04825503124
1416	0.04824264709
1417	0.04823218939
1418	0.04822319231
1419	0.04821136703
1420	0.04819936714
1421	0.04818225609
1422	0.04816427504
1423	0.04815254955
1424	0.04813979105
1425	0.04812649131
1426	0.04811892493
1427	0.04810855975
1428	0.04810135256
1429	0.0480923116
1430	0.04807985622
1431	0.04805082774
1432	0.04804386389
1433	0.04803592279
1434	0.04802642963
1435	0.04801797554
1436	0.04800749333
1437	0.04799760247
1438	0.04798483936
1439	0.04797567158
1440	0.04796273683
1441	0.04794280042
1442	0.04793445643
1443	0.04792536953
1444	0.04791455288
1445	0.0479059264
1446	0.04789516787
1447	0.04788550524
1448	0.04787865898
1449	0.04787114773
1450	0.04786189593
1451	0.04785050711
1452	0.04783851477
1453	0.04782946763
1454	0.04781791323
1455	0.04780743582
1456	0.04779440941
1457	0.04779160227
1458	0.04778108863
1459	0.04777054791
1460	0.04776027834
1461	0.04775258022
1462	0.04773490234
1463	0.04772693281
1464	0.04771831251
1465	0.04770948916
1466	0.04769772875
1467	0.04768842037
1468	0.04767767761
1469	0.04766319298
1470	0.04765309106
1471	0.04764383358
1472	0.04763511476
1473	0.04761593938
1474	0.04760802859
1475	0.04759219902
1476	0.04757870466
1477	0.04757074755
1478	0.04756267151
1479	0.0475539639
1480	0.04754515683
1481	0.04753085476
1482	0.04751841355
1483	0.04750502519
1484	0.04749451946
1485	0.04748381138
1486	0.04747681344
1487	0.04746833522
1488	0.04746321045
1489	0.04745470697
1490	0.04744147049
1491	0.04743160455
1492	0.04742291893
1493	0.04741216172
1494	0.04740314059
1495	0.0473950982
1496	0.04738588549
1497	0.04737946975
1498	0.0473707149
1499	0.04735717625
1500	0.04734413652
1501	0.0473352831
1502	0.04732917785
