Date,Open,High,Low,Close,Adj Close,Volume
2005-05-16,32.777802,33.264400,32.668900,33.049999,4.276659,17615430
2005-05-17,32.446701,33.177799,32.446701,32.862202,4.252359,16193025
2005-05-18,32.755600,33.217800,32.493301,33.011101,4.271626,29413440
2005-05-19,33.000000,33.877800,32.911098,33.305599,4.309735,20556135
2005-05-20,32.888901,33.511101,32.888901,33.281101,4.306565,17853930
2005-05-23,32.977798,33.288898,32.977798,33.152199,4.289886,8308215
2005-05-24,33.066700,33.733299,33.000000,33.389999,4.320656,15774075
2005-05-25,33.291100,33.864399,33.291100,33.688900,4.359334,10773720
2005-05-26,33.733299,34.152199,33.377800,34.036701,4.404339,28255995
2005-05-27,34.088902,35.882198,34.000000,34.904400,4.516619,61280370
2005-05-30,34.888901,35.355598,34.466702,34.610001,4.478524,29103840
2005-05-31,34.666698,35.555599,34.666698,35.538898,4.598724,32465205
2005-06-01,35.555599,35.733299,35.113300,35.367802,4.576583,16455105
2005-06-02,35.367802,35.708900,34.604401,34.686699,4.488449,18649935
2005-06-03,34.844398,35.333302,34.446701,35.167801,4.550704,16925310
2005-06-06,35.355598,35.377800,35.044399,35.142200,4.547391,6169005
2005-06-07,35.308899,35.308899,34.377800,34.450001,4.457820,18231750
2005-06-08,34.777802,35.222198,34.712200,35.131100,4.545953,16284735
2005-06-09,35.131100,35.333302,34.933300,35.016701,4.531151,14962635
2005-06-10,35.000000,35.262199,34.611099,34.718899,4.492615,9203400
2005-06-13,34.844398,35.022202,34.709999,34.936699,4.520798,8650530
2005-06-14,34.888901,35.054401,34.583302,34.902199,4.516335,10929735
2005-06-15,35.000000,35.222198,34.669998,34.763302,4.498361,14606280
2005-06-16,34.888901,35.044399,34.335602,34.427799,4.454947,16190910
2005-06-17,34.666698,34.971100,33.891102,34.358898,4.446032,38642355
2005-06-20,34.755600,34.866699,34.066700,34.119999,4.415118,16264980
2005-06-21,34.177799,34.533298,34.134399,34.238899,4.430504,8241255
2005-06-22,34.333302,35.088902,34.246700,34.994400,4.528265,19555740
2005-06-23,35.111099,35.311100,34.733299,34.962200,4.524098,13370805
2005-06-24,34.577801,35.777802,34.577801,35.621101,4.609361,19358010
2005-06-27,35.688900,37.037800,35.644402,36.374401,4.706836,42561270
2005-06-28,36.444401,36.555599,35.111099,35.388901,4.579313,26581590
2005-06-29,35.333302,36.066700,35.224400,35.884399,4.643430,13110525
2005-06-30,35.888901,37.322201,35.888901,36.935600,4.779457,24582150
2005-07-01,36.666698,37.511101,36.334400,37.123299,4.803745,9362655
2005-07-04,37.222198,37.533298,36.777802,37.403301,4.839976,9590490
2005-07-05,37.439999,37.993301,37.111099,37.184399,4.811650,17554005
2005-07-06,37.177799,37.439999,37.134399,37.251099,4.820282,8500725
2005-07-07,37.251099,37.863300,37.002201,37.352200,4.833364,20130660
2005-07-08,37.458900,37.843300,36.778900,37.727798,4.881967,15420285
2005-07-11,37.777802,38.111099,37.662201,37.903301,4.904676,7081830
2005-07-12,37.955601,39.422199,37.666698,38.759998,5.015532,18265140
2005-07-13,38.888901,39.066700,38.311100,38.418900,4.971394,10087200
2005-07-14,38.400002,39.860001,38.333302,39.221100,5.075200,27976815
2005-07-15,39.222198,39.488899,38.777802,39.279999,5.082820,17590140
2005-07-18,38.888901,38.998901,38.444401,38.638901,23.719158,14671215
2005-07-19,38.955601,38.955601,37.444401,37.745602,23.170790,22447710
2005-07-20,37.799999,38.106701,37.044399,37.183300,22.825611,20397465
2005-07-21,37.335602,37.505600,36.244400,36.340000,22.307938,23485905
2005-07-22,36.665600,36.993301,36.244400,36.535599,22.428007,35281980
2005-07-25,36.844398,37.200001,36.644402,37.017799,22.724016,15140880
2005-07-26,37.111099,37.911098,37.111099,37.635601,23.103266,19793385
2005-07-27,37.822201,37.822201,37.155602,37.613300,23.089575,7805520
2005-07-28,38.418900,38.418900,38.418900,38.418900,23.584105,0
2005-07-29,37.466702,37.777802,36.891102,37.396702,22.956610,34385220
2005-08-01,37.555599,37.555599,36.803299,36.953300,22.684425,7134840
2005-08-02,37.000000,37.288898,36.777802,37.137798,22.797682,18201690
2005-08-03,37.777802,38.777802,37.400002,38.189999,23.443590,34394985
2005-08-04,38.777802,39.333302,38.172199,38.578899,23.682323,12694230
2005-08-05,38.577801,38.931099,38.245602,38.664398,23.734808,13552830
2005-08-08,38.931099,39.000000,38.183300,38.299999,23.511116,16617645
2005-08-09,38.444401,38.639999,37.555599,37.776699,23.189878,12340935
2005-08-10,38.639999,38.702202,37.777802,38.593300,23.691164,9058680
2005-08-11,38.027802,38.788898,38.027802,38.363300,23.549974,12609630
2005-08-12,38.442200,38.442200,37.333302,37.610001,23.087547,41909535
2005-08-16,37.555599,38.198898,37.534401,37.787800,23.196693,16880940
2005-08-17,37.844398,38.191101,37.803299,37.997799,23.325609,6472125
2005-08-18,38.111099,38.328899,37.577801,37.662201,23.119595,11340810
2005-08-19,37.577801,37.777802,37.333302,37.432201,22.978403,9669150
2005-08-22,38.411098,38.411098,37.402199,37.560001,23.056854,10523430
2005-08-23,38.411098,38.411098,37.555599,37.633301,23.101852,8133840
2005-08-24,38.000000,38.000000,37.411098,37.707802,23.147585,8035965
2005-08-25,37.822201,38.151100,37.533298,37.962200,23.303757,7358535
2005-08-26,38.000000,38.333302,37.955601,38.146702,23.417011,7214445
2005-08-29,38.222198,38.400002,37.555599,37.827801,23.221249,6599790
2005-08-30,38.088902,38.556702,37.866699,37.978901,23.314005,15048630
2005-08-31,38.066700,38.555599,37.911098,38.481098,23.622288,9631710
2005-09-01,38.555599,38.884399,38.315601,38.483299,23.623634,9086400
2005-09-02,38.616699,38.755600,38.227798,38.491100,23.628428,8002305
2005-09-05,38.755600,39.998901,38.577801,39.832199,24.451685,22634550
2005-09-06,39.996700,40.753300,39.996700,40.603298,24.925041,16000380
2005-09-08,40.753300,40.888901,40.333302,40.435600,24.822092,16929495
2005-09-09,40.777802,40.884399,40.337799,40.654400,24.956406,9597690
2005-09-12,40.884399,41.799999,40.666698,41.554401,25.508886,17114715
2005-09-13,41.799999,42.222198,41.666698,42.119999,25.856089,16567425
2005-09-14,42.155602,42.155602,41.044399,41.257801,25.326815,26673165
2005-09-15,41.553299,41.911098,41.433300,41.783298,25.649399,14257755
2005-09-16,41.911098,42.195599,41.444401,41.735600,25.620117,16891605
2005-09-19,41.891102,43.244400,41.777802,43.113300,26.465841,32375970
2005-09-20,43.244400,43.662201,42.584400,42.880001,26.322628,47269215
2005-09-21,46.599998,47.299999,43.133301,46.733299,28.688044,70538574
2005-09-22,46.966702,49.500000,45.250000,45.549999,27.961655,73758318
2005-09-23,46.666698,47.366699,45.500000,45.849998,28.145815,36364800
2005-09-26,46.333302,47.833302,46.000000,47.716702,29.291719,34762980
2005-09-27,48.200001,48.200001,46.500000,47.266701,29.015484,29212017
2005-09-28,46.700001,47.566700,46.416698,46.900002,28.790380,21481635
2005-09-29,47.166698,47.500000,46.000000,46.133301,28.319719,22849800
2005-09-30,46.000000,46.533298,44.716702,45.583302,27.982092,25866861
2005-10-03,45.416698,46.066700,44.383301,45.633301,28.012789,16301418
2005-10-04,45.700001,45.900002,45.500000,45.650002,28.023046,13685616
2005-10-05,45.833302,45.833302,43.666698,43.833302,26.907829,47148780
2005-10-06,43.916698,43.966702,42.416698,42.566700,26.130302,49093530
2005-10-07,43.633301,43.633301,41.683300,42.133301,25.864254,42735099
2005-10-10,42.333302,43.383301,42.133301,42.933300,26.355350,32523042
2005-10-11,43.166698,43.233299,42.299999,42.549999,26.120054,22227309
2005-10-13,42.599998,43.766701,42.366699,42.783298,26.263271,27506484
2005-10-14,42.933300,43.083302,41.666698,41.733299,25.618706,27813300
2005-10-17,42.333302,42.333302,40.916698,41.349998,25.383411,20522151
2005-10-18,41.633301,42.200001,41.183300,41.516701,25.485741,20625090
2005-10-19,41.200001,41.333302,40.000000,40.083302,24.605827,24623901
2005-10-20,43.833302,44.500000,38.200001,38.833302,23.838493,44743524
2005-10-21,38.333302,40.633301,38.333302,40.433300,24.820683,35636373
2005-10-24,40.633301,40.983299,38.900002,39.049999,23.971516,27439164
2005-10-25,39.650002,40.299999,39.183300,39.383301,24.176123,22941558
2005-10-26,39.333302,39.700001,38.500000,38.816700,23.828300,27711570
2005-10-27,39.000000,39.500000,38.333302,38.566700,23.674833,38225436
2005-10-28,38.666698,38.733299,38.133301,38.483299,23.623634,30189921
2005-10-31,38.599998,40.316700,38.599998,40.066700,24.595640,21560040
2005-11-02,40.500000,41.849998,40.000000,41.733299,25.618706,37964970
2005-11-04,null,null,null,null,null,null
2005-11-07,40.500000,42.250000,40.500000,42.049999,25.813124,19382640
2005-11-08,42.250000,42.500000,41.666698,42.216702,25.915457,17498004
2005-11-09,42.400002,43.099998,41.333302,42.916698,26.345154,33404592
2005-11-10,43.033298,43.033298,42.400002,42.533298,26.109797,14851695
2005-11-11,42.733299,43.633301,42.666698,43.366699,26.621391,25240095
2005-11-14,43.633301,43.950001,42.433300,42.766701,26.253082,25020705
2005-11-16,42.766701,43.799999,42.766701,43.516701,26.713482,23024634
2005-11-17,43.599998,43.816700,43.049999,43.400002,26.641840,16845270
2005-11-18,43.533298,43.833302,43.349998,43.599998,26.764614,12878004
2005-11-21,43.666698,43.666698,42.049999,42.250000,25.935894,27839709
2005-11-22,42.799999,43.266701,41.583302,41.700001,25.598269,24840687
2005-11-23,41.666698,43.316700,41.666698,43.133301,26.478119,23617473
2005-11-24,43.166698,45.566700,43.166698,44.983299,27.613777,57654384
2005-11-25,45.033298,46.066700,44.516701,45.566700,27.971905,39347493
2005-11-28,45.666698,46.716702,45.666698,46.416698,28.493692,44287185
2005-11-29,46.400002,46.500000,45.366699,45.633301,28.012789,23512278
2005-11-30,45.666698,46.166698,44.666698,44.833302,27.521696,17623545
2005-12-01,45.000000,45.483299,44.183300,45.266701,27.787750,15988854
2005-12-02,45.483299,46.299999,45.483299,45.833302,28.135565,17062800
2005-12-05,45.833302,46.133301,44.616699,44.733299,27.460312,26700777
2005-12-06,44.933300,45.166698,44.166698,44.516701,27.327343,16106886
2005-12-07,44.666698,45.799999,44.583302,45.183300,27.736547,25720251
2005-12-08,45.433300,45.450001,44.766701,45.099998,27.685413,13837386
2005-12-09,45.166698,45.883301,45.000000,45.616699,28.002598,19519986
2005-12-12,45.883301,46.666698,45.849998,46.150002,28.329979,29672160
2005-12-13,46.166698,47.383301,46.000000,47.233299,28.994976,38485323
2005-12-14,47.450001,48.299999,46.750000,48.033298,29.486073,42607467
2005-12-15,48.166698,48.333302,45.966702,46.783298,28.718735,21215889
2005-12-16,47.133301,47.299999,46.366699,47.033298,28.872202,15660204
2005-12-19,47.166698,48.466702,47.166698,48.266701,29.629351,16326747
2005-12-20,48.500000,48.666698,47.266701,47.816700,29.353107,15949845
2005-12-21,47.833302,48.183300,46.799999,47.216702,28.984791,18817845
2005-12-22,47.333302,47.866699,47.000000,47.349998,29.066620,17236881
2005-12-23,47.500000,47.633301,46.250000,46.450001,28.514132,17942211
2005-12-26,46.433300,46.666698,45.400002,45.849998,28.145815,16708671
2005-12-27,46.000000,47.316700,45.483299,47.066700,28.892708,13281420
2005-12-28,47.166698,47.416698,45.883301,46.150002,28.329979,23408049
2005-12-29,46.333302,46.816700,46.233299,46.466702,28.524391,15831993
2005-12-30,46.666698,47.599998,46.366699,47.366699,29.076870,17540727
2006-01-02,47.333302,47.583302,44.000000,46.700001,28.667603,11173932
2006-01-03,46.983299,48.083302,46.766701,47.700001,29.281469,18794334
2006-01-04,48.000000,49.566700,48.000000,48.983299,30.069241,37534101
2006-01-05,49.016701,49.566700,48.166698,48.466702,29.752121,13953864
2006-01-06,48.666698,48.750000,47.299999,48.483299,29.762310,28734087
2006-01-09,48.750000,49.000000,47.799999,48.450001,29.741875,19452132
2006-01-10,48.566700,48.833302,47.500000,47.616699,29.230335,15088230
2006-01-12,47.666698,48.666698,46.750000,48.200001,29.588404,15569814
2006-01-13,48.333302,48.916698,47.883301,48.500000,29.772568,24597144
2006-01-16,48.333302,48.666698,47.833302,48.066700,29.506578,11421792
2006-01-17,48.066700,48.366699,47.333302,47.483299,29.148441,8936850
2006-01-18,47.333302,47.466702,45.349998,47.116699,28.923399,11148597
2006-01-19,47.333302,48.083302,47.216702,47.700001,29.281469,12107601
2006-01-20,48.083302,49.166698,47.933300,49.016701,30.089750,18277806
2006-01-23,48.983299,50.833302,48.500000,50.633301,31.082129,33912705
2006-01-24,50.833302,52.933300,50.533298,51.566700,31.655115,27159066
2006-01-25,51.716702,52.733299,50.916698,52.583302,32.279167,24114873
2006-01-27,52.583302,52.933300,51.566700,51.816700,31.808575,19397835
2006-01-30,51.816700,52.466702,50.616699,51.750000,31.767635,13977489
2006-01-31,52.000000,52.216702,51.349998,51.599998,31.675552,7825179
2006-02-01,51.666698,52.116699,51.166698,51.683300,31.726685,16920714
